Event	ID	Name			Wwise Object Path	Notes
	85412153	Ambience			\Default Work Unit\Ambience	
	622818416	Dash_Attack			\Default Work Unit\Dash_Attack	
	799872408	SFX_Deplacements			\Default Work Unit\SFX_Deplacements	
	1598298728	Music_menu			\Default Work Unit\Music_menu	
	2227419164	Music_End			\Default Work Unit\Music_End	
	2290831937	Spotlight_on			\Default Work Unit\Spotlight_on	
	2932040671	Play_Music			\Default Work Unit\Play_Music	

Switch Group	ID	Name			Wwise Object Path	Notes
	2963455281	Switch_Music			\Default Work Unit\Switch_Music	

Switch	ID	Name	Switch Group			Notes
	1658298262	Start_Combat	Switch_Music			
	4195088783	End_Combat	Switch_Music			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	78828263	Combat_rapproch�_phase_2_first	D:\Users\guilh\Unity\nano-wwise\.cache\Mac\SFX\Combat_rapproch�_phase_2_first_B587EF35.wem		\Interactive Music Hierarchy\Interactive_Music\Music\[01] Introduction\Combat_rapproch�_phase_2_first\Combat_rapproch�_phase_2_first		239914
	109809174	Combat_rapproch�_phase_1_loop_1	D:\Users\guilh\Unity\nano-wwise\.cache\Mac\SFX\Combat_rapproch�_phase_1_loop_1_B587EF35.wem		\Interactive Music Hierarchy\Interactive_Music\Music\[01] Introduction\Combat_rapproch�_phase_1_loop_1\Combat_rapproch�_phase_1_loop_1		169986
	123303757	Combat_rapproch�_phase_1_loop_4	D:\Users\guilh\Unity\nano-wwise\.cache\Mac\SFX\Combat_rapproch�_phase_1_loop_4_B587EF35.wem		\Interactive Music Hierarchy\Interactive_Music\Music\[01] Introduction\Combat_rapproch�_phase_1_loop_4\Combat_rapproch�_phase_1_loop_4		216408
	143143403	Combat_�_distance_loop_1	D:\Users\guilh\Unity\nano-wwise\.cache\Mac\SFX\Combat_�_distance_loop_1_B587EF35.wem		\Interactive Music Hierarchy\Interactive_Music\Music\[01] Introduction\Combat_�_distance_loop_1\Combat_�_distance_loop_1		220670
	200382848	Combat_�_distance	D:\Users\guilh\Unity\nano-wwise\.cache\Mac\SFX\Combat_�_distance_B587EF35.wem		\Interactive Music Hierarchy\Interactive_Music\Music\[01] Introduction\Combat_�_distance\Combat_�_distance		247636
	330565395	MACK Effect Reverse Cymbal	D:\Users\guilh\Unity\nano-wwise\.cache\Mac\SFX\MACK Effect Reverse Cymbal_B587EF35.wem		\Interactive Music Hierarchy\Interactive_Music\Music\Transition\MACK Effect Reverse Cymbal		475046
	350248293	QP02 0247 Wind desert soft variable over flat lava bed	D:\Users\guilh\Unity\nano-wwise\.cache\Mac\SFX\QP02 0247 Wind desert soft variable over flat lava bed_49718417.wem		\Actor-Mixer Hierarchy\Environment\Ambience\QP02 0247 Wind desert soft variable over flat lava bed		1005627
	486513286	Combat_rapproch�_phase_2_loop_1	D:\Users\guilh\Unity\nano-wwise\.cache\Mac\SFX\Combat_rapproch�_phase_2_loop_1_B587EF35.wem		\Interactive Music Hierarchy\Interactive_Music\Music\[01] Introduction\Combat_rapproch�_phase_2_loop_1\Combat_rapproch�_phase_2_loop_1		353085
	506201386	Combat_rapproch�_phase_1_loop_2_(variation_1)	D:\Users\guilh\Unity\nano-wwise\.cache\Mac\SFX\Combat_rapproch�_phase_1_loop_2_(variation_1)_B587EF35.wem		\Interactive Music Hierarchy\Interactive_Music\Music\[01] Introduction\Combat_rapproch�_phase_1_loop_2_(variation_1)\Combat_rapproch�_phase_1_loop_2_(variation_1)		176053
	511341876	craquements_glace_d�placement	D:\Users\guilh\Unity\nano-wwise\.cache\Mac\SFX\craquements_glace_d�placement_B587EF35.wem		\Actor-Mixer Hierarchy\Environment\Ambience\craquements_glace_d�placement		839348
	539152739	Introduction	D:\Users\guilh\Unity\nano-wwise\.cache\Mac\SFX\Introduction_B587EF35.wem		\Interactive Music Hierarchy\Interactive_Music\Music\[01] Introduction\Introduction\Introduction		218774
	595057892	Combat_rapproch�_phase_2_break	D:\Users\guilh\Unity\nano-wwise\.cache\Mac\SFX\Combat_rapproch�_phase_2_break_B587EF35.wem		\Interactive Music Hierarchy\Interactive_Music\Music\[01] Introduction\Combat_rapproch�_phase_2_break\Combat_rapproch�_phase_2_break		232913
	676877655	Fin du combat	D:\Users\guilh\Unity\nano-wwise\.cache\Mac\SFX\Fin du combat_B587EF35.wem		\Interactive Music Hierarchy\Interactive_Music\Music\[08] Combat_End\Fin du combat\Fin du combat		107163
	705106200	Combat_augmentation_de_la_tension	D:\Users\guilh\Unity\nano-wwise\.cache\Mac\SFX\Combat_augmentation_de_la_tension_B587EF35.wem		\Interactive Music Hierarchy\Interactive_Music\Music\[01] Introduction\Combat_augmentation_de_la_tension\Combat_augmentation_de_la_tension		307584
	822797860	vent_l�ger_d_hiver_glace	D:\Users\guilh\Unity\nano-wwise\.cache\Mac\SFX\vent_l�ger_d_hiver_glace_B587EF35.wem		\Actor-Mixer Hierarchy\Environment\Ambience\vent_l�ger_d_hiver_glace		850982
	826111828	Combat_rapproch�_phase_1_loop_3	D:\Users\guilh\Unity\nano-wwise\.cache\Mac\SFX\Combat_rapproch�_phase_1_loop_3_B587EF35.wem		\Interactive Music Hierarchy\Interactive_Music\Music\[01] Introduction\Combat_rapproch�_phase_1_loop_3\Combat_rapproch�_phase_1_loop_3		215988
	831152742	Combat_augmentation_de_la_tension_loop_1	D:\Users\guilh\Unity\nano-wwise\.cache\Mac\SFX\Combat_augmentation_de_la_tension_loop_1_B587EF35.wem		\Interactive Music Hierarchy\Interactive_Music\Music\[01] Introduction\Combat_augmentation_de_la_tension_loop_1\Combat_augmentation_de_la_tension_loop_1		463357
	854917812	Spotlight Stadium - Reverb	D:\Users\guilh\Unity\nano-wwise\.cache\Mac\SFX\Spotlight Stadium - Reverb_10C4C929.wem		\Actor-Mixer Hierarchy\Environment\Spotlight_on\Spotlight Stadium - Reverb		200768
	890481524	Shimmering Orbs	D:\Users\guilh\Unity\nano-wwise\.cache\Mac\SFX\Shimmering Orbs_B587EF35.wem		\Actor-Mixer Hierarchy\Environment\Ambience\Shimmering Orbs		1075154
	938373526	ambiance_lac_glac�_hiver	D:\Users\guilh\Unity\nano-wwise\.cache\Mac\SFX\ambiance_lac_glac�_hiver_B587EF35.wem		\Actor-Mixer Hierarchy\Environment\Ambience\ambiance_lac_glac�_hiver		879363
	958299482	Combat_rapproch�_phase_2_loop_2	D:\Users\guilh\Unity\nano-wwise\.cache\Mac\SFX\Combat_rapproch�_phase_2_loop_2_B587EF35.wem		\Interactive Music Hierarchy\Interactive_Music\Music\[01] Introduction\Combat_rapproch�_phase_2_loop_2\Combat_rapproch�_phase_2_loop_2		365792
	1037076125	Dash Sound_Grave	D:\Users\guilh\Unity\nano-wwise\.cache\Mac\SFX\Dash Sound_10C4C929.wem		\Actor-Mixer Hierarchy\Character\Dash_attack\Dash Sound_Grave		266304

